CountyIds,COUNTY,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time
33,riverside,33.910270000000004,-116.99895,CAL FIRE/Riverside County  Fire,Relay Fire,60.0,2013-08-04 16:29:00+00:00,2013-08-04 18:00:00+00:00,0 days 01:31:00,2013,100.0,False,2013-08-04
29,nevada,39.333401,-121.107022,CAL FIRE Nevada-Yuba-Placer Unit,Tyler Fire,52.0,2013-08-31 14:42:00+00:00,2013-08-31 21:30:00+00:00,0 days 06:48:00,2013,100.0,False,2013-08-31
40,san luis obispo,35.45797800000001,-120.751555,CAL FIRE San Luis Obispo Unit,Toro Fire,51.0,2013-11-08 10:30:00+00:00,2013-11-09 17:00:00+00:00,1 days 06:30:00,2013,100.0,True,2013-11-08
17,lake,39.0448,-122.7656,CAL FIRE Sonoma-Lake-Napa Unit,Bruner Fire,50.0,2013-11-23 12:04:00+00:00,2013-11-24 08:45:00+00:00,0 days 20:41:00,2013,100.0,False,2013-11-23
47,siskiyou,41.923323,-122.578393,CAL FIRE Siskiyou Unit,Cottonwood Fire,50.0,2013-08-15 14:40:00+00:00,2013-08-15 17:00:00+00:00,0 days 02:20:00,2013,100.0,False,2013-08-15
43,santa clara,37.1438,-121.7804,CAL FIRE Santa Clara Unit,Uvas Fire,50.0,2013-07-12 13:09:00+00:00,2013-07-12 17:45:00+00:00,0 days 04:36:00,2013,100.0,False,2013-07-12
1,alameda,37.7393,-121.5869,CAL FIRE Santa Clara Unit,Grant Fire,50.0,2013-07-04 10:00:00+00:00,2013-07-04 11:30:00+00:00,0 days 01:30:00,2013,100.0,False,2013-07-04
40,san luis obispo,35.5123,-120.6368,CAL FIRE San Luis Obispo Unit,Homestead Fire,50.0,2013-05-25 17:35:00+00:00,2013-05-25 18:45:00+00:00,0 days 01:10:00,2013,100.0,False,2013-05-25
5,calaveras,38.06231,-120.45233,CAL FIRE Tuolumne-Calaveras Unit,Bridges Fire,46.0,2013-08-17 10:11:00+00:00,2013-08-19 07:10:00+00:00,1 days 20:59:00,2013,100.0,True,2013-08-17
10,fresno,37.03087,-119.463757,CAL FIRE/Fresno County Fire,Sierra Fire,46.0,2013-06-17 14:41:00+00:00,2013-06-19 08:45:00+00:00,1 days 18:04:00,2013,100.0,False,2013-06-17
23,mendocino,38.980846,-123.067671,CAL FIRE Mendocino Unit,Pratt Fire,45.0,2013-07-23 13:29:00+00:00,2013-07-23 16:00:00+00:00,0 days 02:31:00,2013,100.0,False,2013-07-23
